address_name,full_name,id,name,purpose_name,rubrics,type,address.building_id,address.components,address.postcode,point.lat,point.lon,reviews.general_rating,reviews.general_review_count,reviews.general_review_count_with_stars,reviews.is_reviewable,reviews.is_reviewable_on_flamp,reviews.items,reviews.org_rating,reviews.org_review_count,reviews.org_review_count_with_stars,address.landmark_name,address_comment,address.building_name,reviews.rating,reviews.review_count,reviews.recommendation_count,building_name,city
"деревня Сосенки, 150","Сосенки, деревня Сосенки, 150",70000001020034740,"New Moscow, ресторан",Ресторан,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,4504235306854603,"[{'number': '150', 'street': 'деревня Сосенки', 'type': 'street_number'}]",108802,55.554086,37.431872,4.9,11.0,16.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.9,11.0,16.0,,,,,,,,Москва
"Скандинавский бульвар, 12",,70000001096460413,"The Beer, крафтовый бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,70030076177876871,"[{'number': '12', 'street': 'Скандинавский бульвар', 'street_id': '70030076170976780', 'type': 'street_number'}]",108801,55.562626,37.501272,5.0,9.0,17.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.8,31.0,53.0,ЖК Скандинавия,,,,,,,Москва
"улица Александры Монаховой, 90 к4",,70000001087699714,"Брискетная №1, паб",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,70030076160147189,"[{'number': '90 к4', 'street': 'улица Александры Монаховой', 'street_id': '4504338361812739', 'type': 'street_number'}]",108826,55.542578,37.480596,4.4,11.0,15.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.4,11.0,15.0,ЖК Бунинские луга,1 этаж,,,,,,Москва
"улица Липовый парк, 8 к2",,70000001034540345,"Липа Бар, гастробар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'kafe', 'id': '161', 'kind': 'additional', 'name': 'Кафе', 'parent_id': '2', 'short_id': 161}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,4504235300147859,"[{'number': '8 к2', 'street': 'улица Липовый парк', 'street_id': '4504338361753996', 'type': 'street_number'}]",108801,55.570096,37.488297,4.7,23.0,40.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.7,23.0,40.0,ЖК Москва А101,1 этаж; около отделения Почта России,,,,,,Москва
"улица Александры Монаховой, 90 к3",,70000001085334903,"The Beer, крафтовый бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,70030076160147030,"[{'number': '90 к3', 'street': 'улица Александры Монаховой', 'street_id': '4504338361812739', 'type': 'street_number'}]",108826,55.543761,37.481012,4.7,6.0,13.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.8,31.0,53.0,ЖК Бунинские луга,1 этаж,,,,,,Москва
"Скандинавский бульвар, 19",,70000001085797627,"Rich man celebrity, лаундж-бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'primary', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}]",branch,70030076199558084,"[{'number': '19', 'street': 'Скандинавский бульвар', 'street_id': '70030076170976780', 'type': 'street_number'}]",108834,55.55686,37.510902,5.0,21.0,23.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.9,50.0,66.0,ЖК Скандинавия,,,,,,,Москва
"Южнобутовская улица, 117",,70000001029862731,"1980, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",branch,4504235282774195,"[{'number': '117', 'street': 'Южнобутовская улица', 'street_id': '4504338361753578', 'type': 'street_number'}]",117042,55.532213,37.520261,4.2,37.0,44.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.2,37.0,44.0,,цокольный этаж,,,,,,Москва
"улица Эдварда Грига, 15",,70000001097044775,"Слеза комсомолки, рюмочная",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'ryumochnye', 'id': '52248', 'kind': 'primary', 'name': 'Рюмочные', 'parent_id': '2', 'short_id': 52248}]",branch,70030076190387677,"[{'number': '15', 'street': 'улица Эдварда Грига', 'street_id': '70030076195626253', 'type': 'street_number'}]",108834,55.557202,37.506877,5.0,1.0,2.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,1.0,2.0,ЖК Скандинавия,1 этаж,,,,,,Москва
"Скандинавский бульвар, 5 к2",,70000001085797586,"Rich Man, лаундж-бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'primary', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}]",branch,70030076173520215,"[{'number': '5 к2', 'street': 'Скандинавский бульвар', 'street_id': '70030076170976780', 'type': 'street_number'}]",108801,55.565215,37.499906,5.0,7.0,10.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.9,50.0,66.0,ЖК Скандинавия,1 этаж,,,,,,Москва
"улица Александры Монаховой, 5 к3",,70000001049073272,"Гугельбир, паб",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,4504235283173810,"[{'number': '5 к3', 'street': 'улица Александры Монаховой', 'street_id': '4504338361812739', 'type': 'street_number'}]",108814,55.574989,37.473468,5.0,4.0,8.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,4.0,8.0,ЖК Зелёная линия,1 этаж,,,,,,Москва
"улица Эдварда Грига, 17",,70000001096870786,"Невод, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}]",branch,70030076173581538,"[{'number': '17', 'street': 'улица Эдварда Грига', 'street_id': '70030076195626253', 'type': 'street_number'}]",108834,55.555375,37.508094,5.0,3.0,5.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,3.0,5.0,ЖК Скандинавия,1 этаж,,,,,,Москва
"Скандинавский бульвар, 9",,70000001087044520,"Сканди, бар",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,70030076177877766,"[{'number': '9', 'street': 'Скандинавский бульвар', 'street_id': '70030076170976780', 'type': 'street_number'}]",108801,55.564202,37.50296,1.0,2.0,2.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",1.0,2.0,2.0,ЖК Скандинавия,1 этаж,,,,,,Москва
"улица Эдварда Грига, 15",,70000001096307057,Просечечная,,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,70030076190387677,"[{'number': '15', 'street': 'улица Эдварда Грига', 'street_id': '70030076195626253', 'type': 'street_number'}]",108834,55.556765,37.506741,,,,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,,ЖК Скандинавия,1 этаж,,,,,,Москва
"Скандинавский бульвар, 17",,70000001097027189,"Ньёрд, паб",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,70030076199557382,"[{'number': '17', 'street': 'Скандинавский бульвар', 'street_id': '70030076170976780', 'type': 'street_number'}]",108834,55.557887,37.510891,5.0,3.0,6.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,3.0,6.0,ЖК Скандинавия,,,,,,,Москва
"Скандинавский бульвар, 5 к1",,70000001102610004,Beer Garage,,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",branch,70030076173519517,"[{'number': '5 к1', 'street': 'Скандинавский бульвар', 'street_id': '70030076170976780', 'type': 'street_number'}]",108801,55.566696,37.500149,,,,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,,ЖК Скандинавия,,,,,,,Москва
"Скандинавский бульвар, 12",,70000001081643397,"Samovar CraftBar, бар крафтового пива",,"[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'razlivnoe_pivo', 'id': '19290', 'kind': 'additional', 'name': 'Разливное пиво', 'parent_id': '14', 'short_id': 19290}]",branch,70030076177876871,"[{'number': '12', 'street': 'Скандинавский бульвар', 'street_id': '70030076170976780', 'type': 'street_number'}]",108801,55.563165,37.50027,5.0,2.0,2.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.6,17.0,21.0,ЖК Скандинавия,1 этаж,,,,,,Москва
